PERMNO,date,TICKER,PRC,VOL
84398,25/04/2019,SPY,292.04999,57770862
84398,26/04/2019,SPY,293.41000,50916423
84398,29/04/2019,SPY,293.87000,57197747
84398,30/04/2019,SPY,294.01999,81111733
84398,01/05/2019,SPY,291.81000,71671870
84398,02/05/2019,SPY,291.17999,65030170
84398,03/05/2019,SPY,294.03000,56543653
84398,06/05/2019,SPY,292.82001,107198069
84398,07/05/2019,SPY,287.92999,144729908
84398,08/05/2019,SPY,287.53000,91568287
84398,09/05/2019,SPY,286.66000,103471104
84398,10/05/2019,SPY,288.10001,112429293
84398,13/05/2019,SPY,280.85999,127290527
84398,14/05/2019,SPY,283.39999,77003230
84398,15/05/2019,SPY,285.06000,73956407
84398,16/05/2019,SPY,287.70001,76749643
84398,17/05/2019,SPY,285.84000,100353024
84398,20/05/2019,SPY,283.95001,62877610
84398,21/05/2019,SPY,286.51001,46847085
84398,22/05/2019,SPY,285.63000,49482472
84398,23/05/2019,SPY,282.14001,98733847
84398,24/05/2019,SPY,282.78000,55268095
84398,28/05/2019,SPY,280.14999,70029356
84398,29/05/2019,SPY,278.26999,104972927
84398,30/05/2019,SPY,279.03000,62523780
84398,31/05/2019,SPY,275.26999,86862782
84398,03/06/2019,SPY,274.57001,96427952
84398,04/06/2019,SPY,280.53000,77231889
84398,05/06/2019,SPY,282.95999,71169717
84398,06/06/2019,SPY,284.79999,69430381
84398,07/06/2019,SPY,287.64999,74272199
84398,10/06/2019,SPY,288.97000,60799053
84398,11/06/2019,SPY,288.89999,58641325
84398,12/06/2019,SPY,288.39001,47096312
84398,13/06/2019,SPY,289.57999,48945156
84398,14/06/2019,SPY,289.26001,52324716
84398,17/06/2019,SPY,289.37000,39205709
84398,18/06/2019,SPY,292.39999,85434823
84398,19/06/2019,SPY,293.06000,78674377
84398,20/06/2019,SPY,295.85999,116570017
84398,21/06/2019,SPY,294.00000,83309466
84398,24/06/2019,SPY,293.64001,47582730
84398,25/06/2019,SPY,290.76001,82028656
84398,26/06/2019,SPY,290.47000,51584902
84398,27/06/2019,SPY,291.50000,40355239
84398,28/06/2019,SPY,293.00000,59350929
84398,01/07/2019,SPY,295.66000,79107474
84398,02/07/2019,SPY,296.42999,61504544
84398,03/07/2019,SPY,298.79999,40898896
84398,05/07/2019,SPY,298.45999,51677326
84398,08/07/2019,SPY,296.82001,45841772
84398,09/07/2019,SPY,297.19000,41101279
84398,10/07/2019,SPY,298.60999,58595558
84398,11/07/2019,SPY,299.31000,50889481
84398,12/07/2019,SPY,300.64999,40354410
84398,15/07/2019,SPY,300.75000,33910261
84398,16/07/2019,SPY,299.70999,40567964
